url,napoletano,italiano
https://www.napoligrafia.it/musica/testi/ammoreSegreto.htm,"'O bbene nuosto è sincero, nun se po' maje spezzá","Il bene nostro è sincero, non si può mai spezzare"
https://www.napoligrafia.it/musica/testi/mandulinoNapulitano.htm,"Ma tu, caro sassofono tenore, 'ncopp'a 'nu core comme puó tremmá? 'Ncopp'a 'nu core comme puó tremmá? 'Ncopp'a 'nu core comme puó tremmá?""","Ma tu, caro sassofono tenore, su un cuore come puoi vibrare? Su un cuore come puoi vibrare? Su un cuore come puoi vibrare?"""
https://www.napoligrafia.it/musica/testi/aZingara.htm,"Unu parente io tengo, gran signore: sulamente 'stu core","Un parente ho, gran signore: soltanto questo cuore"
https://www.napoligrafia.it/musica/testi/oVascio.htm,"E sissignore, 'a mamma è 'mpagliasegge3","E sissignore, la madre è ""impaglia sedie""3"
https://www.napoligrafia.it/musica/testi/ammoreCanta.htm,"Sole d'abbrile, scétate","Sole d'aprile, svegliati"
https://www.napoligrafia.it/musica/testi/ncoppAllOnna.htm,"stasera so' ll'onne, so' ll'onne d' 'o mare","sono stasera le onde, sono le onde del mare"
https://www.napoligrafia.it/musica/testi/eDdojeLucie.htm,prora,prora
https://www.napoligrafia.it/musica/testi/teofiloPennacchio.htm,Cu Teòfilo Pennacchio,Con Teofilo Pennacchio
https://www.napoligrafia.it/musica/testi/aFuntanella.htm,"m'hanno ditto c' 'a gente se sana, tanto ch'è bella, tanto ch'è bella","mi hanno detto che la gente guarisce. per quanto è bella, per quanto è bella"
https://www.napoligrafia.it/musica/testi/loPaparacianno.htm,"Ll'autriere, a Piedegrotta, io mme portaje, oje 'no canillo ch'era bello assaje","L'altro ieri, a. Piedigrotta, mi portai, un cagnolino che era molto bello"
https://www.napoligrafia.it/musica/testi/canzoneNapulitana.htm,ancora Napule,ancora Napoli
https://www.napoligrafia.it/musica/testi/dojeSerenate.htm,"ll'uocchie turchine e belle, a comme pare","gli occhi turchini e belli, come sembra"
https://www.napoligrafia.it/musica/testi/nunSiLlammore.htm,"c'aggio perduto ogne felicità? 'O bbene tujo è 'na catena 'e spine, e dint'ê spine nun se po' campà","che ho perduto ogni felicità? Il bene tuo è una catena di spine, e nelle spine non si può vivere"
https://www.napoligrafia.it/musica/testi/sciosciaPopolo.htm,"s'è seccata, e ca perciò te dico: ""Attiento a te""","si è seccata, e perciò ti dico: ""Attento a te"""
https://www.napoligrafia.it/musica/testi/addioCarme.htm,Quanno 'e surdate passano,Quando i soldati passano
https://www.napoligrafia.it/musica/testi/viernoTrase.htm,"tempesta, sole nascosto, nfra terra e mare","sole nascosto, tra terra e mare. nuvole a centinaia"
https://www.napoligrafia.it/musica/testi/serenatona.htm,ca va facenno 'a clacche7 p' 'e triate,che fanno i clacchisti7 nei teatri
https://www.napoligrafia.it/musica/testi/uocchieArraggiunate.htm,"Né 'a cchiù bella guagliona, si è ricca, mm'appassiona","Né la più bella ragazza, se è ricca, mi appassiona"
https://www.napoligrafia.it/musica/testi/aRicettaNapule.htm,"americano, teneva nun se sa che malatia, era nefrite, tisi o pecundría? 'A scienza nun sapeva andiviná","americano, aveva non si sa quale malattia, era nefrite, tisi o ipocondria? La scienza non sapeva indovinare"
https://www.napoligrafia.it/musica/testi/maChiSa.htm,"p' 'o vantà so' ghiuto ascianno, maje truvà l'aggio potuto","per elogiarlo sono andato cercando, mai trovare l'ho potuto"
https://www.napoligrafia.it/musica/testi/aCittaPulecenella.htm,"Comm'è doce, comm'è bella, 'a cittá 'e Pullecenella",Com'è dolce e com'è bella. la città di Pulcinella
https://www.napoligrafia.it/musica/testi/ndringheteNdra.htm,"Giuvinò, nun è cosa, pecché",Carmela vi vorrei sposare
https://www.napoligrafia.it/musica/testi/loPaparacianno.htm,"de lo cielo, che se nasconne 'ncasa, o co lo velo","del cielo, che si nasconde in casa, o col velo"
https://www.napoligrafia.it/musica/testi/semplicita.htm,"tu tiene dint'ô core, e a 'o munno, 'nu tesoro","tu hai nel cuore, e al mondo, un tesoro"
https://www.napoligrafia.it/musica/testi/trapanarella.htm,"San Gennà, pènzace tu, ca tanto d' 'e ccorne 'un se campa cchiù","San Gennaro, pensaci tu, perchè a causa delle corna non si vive più"
https://www.napoligrafia.it/musica/testi/aFuntanella.htm,"Carulì, Carulì, si è overo, nun farme sperì","Carulina, Carulina, se è vero, non farmi ardere di desiderio"
https://www.napoligrafia.it/musica/testi/mbracciAmme.htm,"Che prufumo p' 'a campagna, durmarrìa, stanotte, cca","Che profumo per la campagna, stanotte, dormirei qua"
https://www.napoligrafia.it/musica/testi/bammenellaMercato.htm,Pe' Sant'Eligio s'è spasa,Per Sant'Eligio si è sparsa
https://www.napoligrafia.it/musica/testi/llurdemoBicchiere.htm,"Embé, cu 'na penzata 'e","Ora, con una bella pensata"
https://www.napoligrafia.it/musica/testi/loCardillo.htm,'Nficcancillo deritto a lo core,e il sangue mi devi portare
https://www.napoligrafia.it/musica/testi/naSeraMaggio.htm,Nun s'ha dda fá murì,Non si deve far morire
https://www.napoligrafia.it/musica/testi/suspiroCapemonte.htm,'nzieme cu 'e vase,insieme ai baci
https://www.napoligrafia.it/musica/testi/oCuntoMariarosa.htm,"Dicette 'a mamma: ""Figlia, arrassusìa, attienta a te mo ch'è venuta está, 'o sole coce e 'ncapa puó piglià","Disse la mamma: ""Figlia, non sia mai, stai attenta a te ora che è arrivata l'estate: il sole scotta ed alla testa puoi prendere"
https://www.napoligrafia.it/musica/testi/napuleCaSeNeVa.htm,"Chisto è 'o popolo 'e na vota, gente semplice e felice","Questo è il popolo di una volta, gente semplice e felice"
https://www.napoligrafia.it/musica/testi/vienetennePositano.htm,"Oje bella, fa' 'na 'ntésa cu","O bella, fai un patto con"
https://www.napoligrafia.it/musica/testi/addioCarme.htm,Vàsame 'o cacciuttiello,Baciami il cagnolino
https://www.napoligrafia.it/musica/ue-man.htm,You will enjoy your time,You will enjoy your time
https://www.napoligrafia.it/musica/testi/scummunicato.htm,pe fà ancora 'nfamità,per fare ancora delle cattiverie
https://www.napoligrafia.it/musica/testi/coreFurastiero.htm,Quanta coppie 'e 'nnammurate,Quante coppie di fidanzati
https://www.napoligrafia.it/musica/testi/quannoAmmoreVoFila.htm,"Si vo' filà, 'nu spruóccolo","Se vuole filare, un"
https://www.napoligrafia.it/musica/testi/eStelleEnapule.htm,"'St'uocchie che abbruciano, ca cchiù s'appicciano, guardanno a mme","Questi occhi che bruciano, che più si accendono, guardandomi"
https://www.napoligrafia.it/musica/testi/niniTirabuscio.htm,Tutto è pronto. Sto',Tutto è pronto. Sto
https://www.napoligrafia.it/musica/testi/margellina.htm,"d' 'e marenare, d' 'e pparanze sott'ô sole, d' 'e vvoce a mare","dei marinai, delle paranze sotto il sole. delle voci in mare"
https://www.napoligrafia.it/musica/testi/eSpinguleFrancese.htm,francese,da balia
https://www.napoligrafia.it/musica/testi/sentinella.htm,"'o core, 'mpiett'a me, pure 'a luntano, comm'io mm' 'o sto' sentenno sott'â mano, che faje stanotte? Chiagne? Ma pecché? Si tanto doce ancora è 'o","il cuore, nel mio petto, anche da lontano, come io lo sto sentendo sotto la mano, che fai stanotte? Piangi? Ma perchè? Se tanto dolce è ancora il"
https://www.napoligrafia.it/musica/testi/albergoAllegria.htm,"so' perdute 'ncuoll'a te? Siente a me, bellezza mia, chistu core ca tu tiene, pare 'Albergo 'e ll'Allegria, uno vène e ll'ato va","sono perse addosso a te? Ascoltami, bellezza mia, questo cuore che hai, sembra l'albergo dell'allegria, uno viene e l'altro va"
https://www.napoligrafia.it/musica/testi/sfurtunatiello.htm,"Sfurtunatiello, sfurtunatiello","Sfortunatello, sfortunatello"
https://www.napoligrafia.it/musica/testi/priggiunieroGuerra.htm,"E io songo 'o muorto ch'è turnato a nascere, no 'o priggiuniero asciuto a libertà","E io sono il morto che è rinato, non il prigioniero uscito in libertà"
https://www.napoligrafia.it/musica/testi/guaglione.htm,"'sta gelusia? Tu vuó suffrí, tu vuó murí, chi t' 'o ffá fá","questa gelosia? Tu vuoi soffrire, tu vuoi morire, chi te lo fa fare"
https://www.napoligrafia.it/musica/testi/mandulinoNapulitano.htm,napulitano,napoletano
https://www.napoligrafia.it/musica/testi/aMarinaTripoli.htm,"Tanto cchiù ca so' schiavone, 'e vvestimmo 'a Luciane2","Tanto più che sono scure di carnagione, le vestiamo da Luciane22"
https://www.napoligrafia.it/musica/testi/ahAmmoreCheFaFa.htm,e comme fuje,come fu
https://www.napoligrafia.it/musica/testi/tarantellaScugnizza.htm,"e, dint'ô core, 'na passione ardente","e, nel cuore, una passione ardente"
https://www.napoligrafia.it/musica/testi/ammoreSegreto.htm,Per quest'amore segreto,Per quest'amore segreto
https://www.napoligrafia.it/musica/testi/semplicita.htm,cchiù bello nun ce sta,più bello non c'è
https://www.napoligrafia.it/musica/testi/aLunaChiena.htm,"ca me pareva allera, ma, bell'e bbuono senza ce penzà, turnammo 'accummincià","che mi sembrava allegra, ma, all'improvviso senza pensarci, torniamo da capo"
https://www.napoligrafia.it/musica/testi/mannaggiaTe.htm,Io ca nun aggio maje vuluto,Io che non ho mai voluto
https://www.napoligrafia.it/musica/testi/noteDammore.htm,"Nun sonano, parlano 'e nnote","Non suonano, parlano le note"
https://www.napoligrafia.it/musica/testi/sfurtunatella.htm,"Sfurtunatella, sfurtunatella, 'stu core tujo nun vo' carrozze e ville, fa 'ammore 'ncopp' 'e scelle 'e 'n'angiulillo","Sfortunatella, sfortunatella, questo tuo cuore non vuole carrozze e ville, fa l'amore sulle ali di un angioletto"
https://www.napoligrafia.it/musica/testi/fenestaVascia.htm,"Mm'arde 'stu core, comm'a 'na cannela, bella, quanno te sento annommenare","Mi arde questo cuore, come una candela, bella, quando ti sento nominare"
https://www.napoligrafia.it/musica/testi/rundinella.htm,vicino a me,vicino a me
https://www.napoligrafia.it/musica/testi/maista.htm,ca restate senz' 'o pastore,che rimanete senza pastore
https://www.napoligrafia.it/musica/testi/raziella.htm,mentre d'occhiate e squase mm'abbottava,mentre di sguardi e carezze mi riempiva
https://www.napoligrafia.it/musica/testi/oMunasterio.htm,"Se ne jette cantanno: ""Ammore, ammore, cchiù nun te vo' zi' monaco vicino""","Se ne andò cantando: ""Amore, amore, non ti vuole più il monaco vicino"""
https://www.napoligrafia.it/musica/testi/priggiunieroGuerra.htm,assaje cchiù forte,molto più forte
https://www.napoligrafia.it/musica/testi/mandulinoDoTexas.htm,"viecchio mandulino senza Napule che sî, sulo 'nu ricordo 'e ll'Italy","Vecchio mandolino senza Napoli cosa sei, solo un ricordo dell'Italy"
https://www.napoligrafia.it/musica/testi/oCcafe.htm,"E 'o nervuso, nervuso comm'è, ogne tanto s' 'o vva a piglià","E il nervoso, nervoso com'è, ogni tanto se lo va a prendere"
https://www.napoligrafia.it/musica/testi/signorno.htm,"ca 'n'ufficiale, delicatamente, se spassa a corteggiare la mia amante? Questo vorrei sapé, questo, signor tenè","che un ufficiale, delicatamente, si diverte a corteggiare la mia amante? Questo vorrei sapere, questo, signore tenente"
https://www.napoligrafia.it/musica/testi/chiariLuna.htm,"Fior di banana, fior di banana, sott'â funtana, sott'â funtana","Fior di banana, fior di banana, sotto alla fontana, sotto alla fontana"
https://www.napoligrafia.it/musica/testi/tarantellaScugnizza.htm,ch'hê fatto proprio buono a ce venì,che hai fatto proprio bene a venirci
https://www.napoligrafia.it/musica/testi/cientAnneNuJuorno.htm,cient'anne abbracciate,cent'anni abbracciati
https://www.napoligrafia.it/musica/testi/facitemeFelice.htm,"Ricce nire, avvellutate, ca ve sonno tutt' 'e nnotte, vuje mm'avite affatturato","Riccioli neri, vellutati, che vi sogno tutte le notti, mi avete stregato"
https://www.napoligrafia.it/musica/testi/suonneSunnate.htm,'Nterra assettate,Seduti per terra
https://www.napoligrafia.it/musica/testi/rosaMmiezRrose.htm,"e penz'ô juorno ca te sposo, te guardo","e penso al giorno che ti sposerò, ti guardo"
https://www.napoligrafia.it/musica/testi/napuleNaCanzone.htm,Chi 'a vo' purtá in,Chi la vuole portare in
https://www.napoligrafia.it/musica/testi/tutteManera.htm,'ndifferente,perchè state spennando un mercante
https://www.napoligrafia.it/musica/testi/aRumbaScugnizze.htm,"'E lazze p' 'e scarpe, 'e lazze p' 'e scarpe","I lacci per le scarpe, i lacci per le scarpe"
https://www.napoligrafia.it/musica/testi/popoloVesuviano.htm,'e casa sta,sta di casa
https://www.napoligrafia.it/musica/testi/giuramento.htm,O 'a strada 'mpárale p' 'a fá turná,O insegnale la strada per farla tornare
https://www.napoligrafia.it/musica/testi/cheMalaspina.htm,ca s'annasconne 'o tradimento 'ncore,che nasconde il tradimento nel cuore
https://www.napoligrafia.it/musica/testi/madamaChichierchia.htm,E mo tène 'nu cuófano,E ora ha un sacco di anni
https://www.napoligrafia.it/musica/testi/aGiuventuVaPressa.htm,"se 'nfiorano pe te! Strignímmoce, vasámmoce, che 'a giuventù va 'e pressa","fioriscono per te! Stringiamoci, baciamoci, che la gioventù va di fretta"
https://www.napoligrafia.it/musica/testi/ariettaMalinconica.htm,e me so' fatto viecchio? Che suonno! Pare ajere,e sono diventato vecchio? Che sogno! Sembra ieri
https://www.napoligrafia.it/musica/testi/mamma.htm,"ca mena addó va va, comm'ô cecato","che colpisce a caso, come il cieco"
https://www.napoligrafia.it/musica/testi/oSchiaffo.htm,"'ncopp'â Quistura, ô carcere, 'ngalera, chi dice niente? Ma cu cchiù maniera","alla Questura, in carcere, in galera, chi dice niente? Ma con più rispetto?"
https://www.napoligrafia.it/musica/testi/agata.htm,"giornaliero, sempre per te","giornaliero, sempre per te"
https://www.napoligrafia.it/musica/testi/aTrummettaVicaria.htm,E vuó scummettere,E vuoi scommettere
https://www.napoligrafia.it/musica/testi/ePpentite.htm,e po jastemmo e po torno a cantá,e poi bestemmio e poi torno a cantare
https://www.napoligrafia.it/musica/testi/brinneso.htm,"Vinello puro, mentre gli sposi stanno cuoro a cuoro, che scherzo appresentarse dint'ô scuro","Vinello puro, mentre gli sposi stanno cuore a cuore, che scherzo presentarsi al buio"
https://www.napoligrafia.it/musica/testi/velaEsurriento.htm,"Ma si nenna nun dice: ""sto' cca"", marenà, marenà, nun cantà, chiagne cu mme","Ma se l'amore mio non dice: ""sto qua"", marinaio, marinaio, non cantare, piangi con me"
https://www.napoligrafia.it/musica/testi/napulitanata.htm,"Uocchie de suonno, nire, appassiunate","Occhi da sogno, neri, appassionati"
https://www.napoligrafia.it/musica/testi/tuNunMeVuoCchiuBene.htm,"'st'uocchie belle, verde comm'ô mare, 'na smania passá","belli, verdi come il mare, passare una voglia"
https://www.napoligrafia.it/musica/testi/attentiAlleDonne.htm,ch'isso ha dda dà a magná,a cui lui deve dare da mangiare
https://www.napoligrafia.it/musica/testi/mariaRigginaNapule.htm,"turchine e lucente, tutt' 'a passione e 'stu core ce sta","turchini e lucenti, c'è tutta la passione di questo cuore"
https://www.napoligrafia.it/musica/testi/senzaEte.htm,"Te penzo, te desidero e","Ti penso, ti desidero e nei"
https://www.napoligrafia.it/musica/testi/lassammoceMari.htm,"Lassámmoce, Marí","Lasciamoci, Maria"
https://www.napoligrafia.it/musica/testi/oSuspiro.htm,"'abbundanza, 'sti ssuttanelle strette, tu, che t' 'e mmiette a fà? Sarrà l'effetto della tua presenza","con l'abbondanza, queste sottane strette, che te le metti a fare? Sarà l'effetto della tua presenza"
https://www.napoligrafia.it/musica/testi/reginella.htm,T'aggio vuluto bene a te,Ti ho voluto bene a te
https://www.napoligrafia.it/musica/testi/teofiloPennacchio.htm,del dentista Latastiera,del dentista Latastiera
https://www.napoligrafia.it/musica/testi/silenzioCantatore.htm,"Zitta, stanotte nun dicere niente, càdeme 'mbraccia, ma senza parlà","Zitta, stanotte non dire niente, cadimi tra le braccia, ma senza parlare"
https://www.napoligrafia.it/musica/testi/serenataMargellina.htm,"E 'na vocca ca more 'e passione, doce, 'nzuonno, mme vène a vasà","E una bocca che muore di passione, dolce, in sogno, mi viene a baciare"
https://www.napoligrafia.it/musica/testi/napuleNcoppAluna.htm,'A cummara cu' 'o cumpare,La testimone con il testimone
https://www.napoligrafia.it/musica/testi/eNonStaBene.htm,"che batte, pulsa e palpita d'amore","che batte, pulsa e palpita d'amore"
https://www.napoligrafia.it/musica/testi/palomma.htm,Ciento 'nnammuratielle,Cento innamorati corteggiavano
https://www.napoligrafia.it/musica/testi/aBonanemaAmmore.htm,ca faceva spantecá,che faceva palpitare
https://www.napoligrafia.it/musica/testi/eBonaseraAmmore.htm,"mo, cu 'a schiuppata 'e primmavera, scinne",nelle nottate in cui non ho sonno
https://www.napoligrafia.it/musica/testi/aZingara.htm,"Vatténne, oje zingara","Vattene, zingara"
https://www.napoligrafia.it/musica/testi/ziGennaroRockNroll.htm,Zi' Gennaro quanno pigliava,Zio Gennaro quando prendeva
https://www.napoligrafia.it/musica/testi/quannoNascetteNinno.htm,"Quanno nascette Ninno, quanno nascette Ninno a Betlemme, era notte e pareva miezojuorno","Quando nacque Gesù Bambino, quando nacque Gesù Bambino a Betlemme, era notte e sembrava mezzogiorno"
https://www.napoligrafia.it/musica/testi/canzoneNapulitana.htm,"nénna sta allèra, e tengo 'a vocca soja pe Primmavera","il mio amore è allegra, e ho la sua bocca per Primavera"
https://www.napoligrafia.it/musica/testi/canzoneAllAntica.htm,Damme 'nu surzo,Dammi un sorso
https://www.napoligrafia.it/musica/testi/teVoglioBene.htm,pe chistu bene che 'ncatena 'o core,per questo bene che incatena il cuore
https://www.napoligrafia.it/musica/testi/ePalumme.htm,E 'na chiorma 'e,E un gruppo di colombelle
https://www.napoligrafia.it/musica/testi/maChiSa.htm,e canzone a ciento a ciento,e canzoni a centinaia
https://www.napoligrafia.it/musica/testi/tititiTititiTititi.htm,"pe 'st'uocchie blummaré, nel petto ci ho una fiamma","per questi occhi blu, nel petto ho una fiamma"
https://www.napoligrafia.it/musica/testi/mmeChiammeAmmore.htm,"Sì, ll'ammore nuosto è chistu cca","Sì, il nostro amore è questo qua"
https://www.napoligrafia.it/musica/testi/aSerenataPulecenella.htm,Te voglio tantu bene,Ti voglio tanto bene
https://www.napoligrafia.it/musica/testi/commZzuccaro.htm,"ch' 'a passione attacca, te fanno assaje cchiù ricco","che la passione attacca, ti fanno molto più ricco"
https://www.napoligrafia.it/musica/testi/llAmmoreNcampagna.htm,e Matalèna cu 'e bbraccélle 'a fore,e Maddalena con le braccine di fuori
https://www.napoligrafia.it/musica/testi/marianni.htm,"Marianní, sciasciona1 mia, gué, nun farme cchiù sperí","Mariannì, dolcezza1 mia, uè, non farmi più disperare"
https://www.napoligrafia.it/musica/testi/mioCarissimoPasquale.htm,"Doppo ca mm'hê vasato, doppo ca t'hê arrubbato","Dopo che mi hai baciata, dopo che hai rubato"
https://www.napoligrafia.it/musica/testi/nunDaRettaMargari.htm,don Peppe d' 'a Torre,don Peppe della Torre
https://www.napoligrafia.it/musica/testi/aNfrascata.htm,"E io desse tutt' 'a vita p' 'a vasà ""","ed io darei tutta la vita per baciarla """
https://www.napoligrafia.it/musica/testi/dujeParavise.htm,sunaje,suonò
https://www.napoligrafia.it/musica/testi/ioMammetaTu.htm,sta sempe attuorno a me,sta sempre intorno a me
https://www.napoligrafia.it/musica/testi/oFestino.htm,Chisto è ll'ammore ca ce 'ncatenaje,Questo è l'amore che ci ha incatenati
https://www.napoligrafia.it/musica/testi/suonnoAmmore.htm,"Forse tu pure, stasera, tuorne cu 'st'ombra addu me","Forse anche tu, stasera, torni con quest'ombra da me"
https://www.napoligrafia.it/musica/testi/padroneDoMare.htm,pittata d'acqua 'e mare,dipinta dall'acqua di mare
https://www.napoligrafia.it/musica/testi/maVePareVePareVePa.htm,"Ma ve pare, ve pa', ma ve pare ca io pòzzo campá? Cu 'na moglie ca soffre 'e 'stu male, io mi sparo alle sette â vigilia 'e Natale","Ma vi pare, vi pare. Ma vi pare che io possa vivere? Con una moglie che soffre di questo male, io mi sparo alle sette alla vigilia di Natale"
https://www.napoligrafia.it/musica/testi/oGranPascia.htm,'O mese che trase faccio,Il mese che arriva faccio
https://www.napoligrafia.it/musica/testi/aSerenataPulecenella.htm,"Ma tu ce pienze o no, ch'éro 'nu guappo, guappo overo. E mo? Te voglio tantu bene","Ma tu ci pensi o no, Che ero un guappo, guappo davvero. E ora? Ti voglio tanto bene"
https://www.napoligrafia.it/musica/testi/tarantellaVase.htm,Oje né t' 'o voglio dà,O amore te lo voglio dare
https://www.napoligrafia.it/musica/testi/pusillecoAddiruso.htm,Quanno 'o sole p' 'o monte se n'è sciso,Quando il sole per il monte è sceso
https://www.napoligrafia.it/musica/testi/napuleNaCanzone.htm,"America, chi 'a vo' purtá in Giappone, ma ll'Europa se fa ragione, dice: ""E' meglio ca resta a me""","America, chi la vuole portare in Giappone, ma l'Europa se ne fa una ragione, dice: ""E' meglio che resta a me"""
https://www.napoligrafia.it/musica/testi/brinneso.htm,dell'amirosa mia ca s'è sposata,dell'amorosa mia che si è sposata
https://www.napoligrafia.it/musica/testi/oMeglioAmico.htm,e tu sî sempe 'o meglio amico mio,e tu sei sempre il migliore amico mio
https://www.napoligrafia.it/musica/testi/ioNaChitarraLuna.htm,"cágnate nomme e di': ""State in errore","cambiati nome e dici: ""State sbagliando"
https://www.napoligrafia.it/musica/testi/mandulinoNapulitano.htm,"Sunánnolo, 'o vasava e lle","Suonandolo, lo baciava e"
https://www.napoligrafia.it/musica/testi/mareVerde.htm,Ll'ombra te veste ma te spoglia 'o sole,L'ombra ti veste ma ti spoglia il sole
https://www.napoligrafia.it/musica/testi/addioPulecenella.htm,p'avé 'nu vaso 'a quacche Palummella,per avere un bacio da qualche Colombina
https://www.napoligrafia.it/musica/testi/mariaRigginaNapule.htm,"chitarra, Dimme, dimane, cu 'a luce","chitarra, Dimmi, domani, con la luce"
